 time                   v(VOUT)               
 0.000000000000000e+00  8.000064964280551e-01 
 5.000000000000001e-12  8.000064964280549e-01 
 1.000000000000000e-11  8.000064964280547e-01 
 2.000000000000000e-11  8.000064964280544e-01 
 4.000000000000000e-11  8.000064964280542e-01 
 8.000000000000001e-11  8.000064964280550e-01 
 1.600000000000000e-10  8.000064964280555e-01 
 3.200000000000000e-10  8.000064964280552e-01 
 6.400000000000001e-10  8.000064964280557e-01 
 1.140000000000000e-09  8.000064964280559e-01 
 1.640000000000000e-09  8.000064964280559e-01 
 2.140000000000000e-09  8.000064964280558e-01 
 2.640000000000000e-09  8.000064964280559e-01 
 3.140000000000000e-09  8.000064964280560e-01 
 3.640000000000000e-09  8.000064964280564e-01 
 4.140000000000000e-09  8.000064964280568e-01 
 4.640000000000001e-09  8.000064964280570e-01 
 5.140000000000001e-09  8.000064964280570e-01 
 5.640000000000001e-09  8.000064964280568e-01 
 6.140000000000002e-09  8.000064964280567e-01 
 6.640000000000002e-09  8.000064964280564e-01 
 7.140000000000002e-09  8.000064964280562e-01 
 7.640000000000003e-09  8.000064964280559e-01 
 8.140000000000002e-09  8.000064964280561e-01 
 8.640000000000002e-09  8.000064964280567e-01 
 9.140000000000001e-09  8.000064964280572e-01 
 9.640000000000001e-09  8.000064964280583e-01 
 1.014000000000000e-08  8.000064964280589e-01 
 1.064000000000000e-08  8.000064964280592e-01 
 1.114000000000000e-08  8.000064964280594e-01 
 1.164000000000000e-08  8.000064964280594e-01 
 1.214000000000000e-08  8.000064964280592e-01 
 1.264000000000000e-08  8.000064964280592e-01 
 1.314000000000000e-08  8.000064964280594e-01 
 1.364000000000000e-08  8.000064964280593e-01 
 1.414000000000000e-08  8.000064964280591e-01 
 1.464000000000000e-08  8.000064964280589e-01 
 1.514000000000000e-08  8.000064964280591e-01 
 1.564000000000000e-08  8.000064964280589e-01 
 1.614000000000000e-08  8.000064964280584e-01 
 1.664000000000000e-08  8.000064964280581e-01 
 1.714000000000000e-08  8.000064964280578e-01 
 1.764000000000000e-08  8.000064964280574e-01 
 1.814000000000000e-08  8.000064964280574e-01 
 1.864000000000000e-08  8.000064964280574e-01 
 1.914000000000000e-08  8.000064964280574e-01 
 1.964000000000001e-08  8.000064964280574e-01 
 2.014000000000001e-08  8.000064964280574e-01 
 2.064000000000001e-08  8.000064964280574e-01 
 2.114000000000001e-08  8.000064964280574e-01 
 2.164000000000001e-08  8.000064964280574e-01 
 2.214000000000001e-08  8.000064964280574e-01 
 2.264000000000001e-08  8.000064964280574e-01 
 2.314000000000001e-08  8.000064964280574e-01 
 2.364000000000002e-08  8.000064964280574e-01 
 2.414000000000002e-08  8.000064964280574e-01 
 2.464000000000002e-08  8.000064964280575e-01 
 2.514000000000002e-08  8.000064964280579e-01 
 2.564000000000002e-08  8.000064964280581e-01 
 2.614000000000002e-08  8.000064964280579e-01 
 2.664000000000002e-08  8.000064964280578e-01 
 2.714000000000002e-08  8.000064964280578e-01 
 2.764000000000002e-08  8.000064964280579e-01 
 2.814000000000003e-08  8.000064964280579e-01 
 2.864000000000003e-08  8.000064964280579e-01 
 2.914000000000003e-08  8.000064964280579e-01 
 2.964000000000003e-08  8.000064964280578e-01 
 3.014000000000003e-08  8.000064964280578e-01 
 3.064000000000003e-08  8.000064964280578e-01 
 3.114000000000003e-08  8.000064964280578e-01 
 3.164000000000002e-08  8.000064964280578e-01 
 3.214000000000002e-08  8.000064964280579e-01 
 3.264000000000002e-08  8.000064964280582e-01 
 3.314000000000002e-08  8.000064964280583e-01 
 3.364000000000002e-08  8.000064964280583e-01 
 3.414000000000001e-08  8.000064964280584e-01 
 3.464000000000001e-08  8.000064964280587e-01 
 3.514000000000001e-08  8.000064964280590e-01 
 3.564000000000001e-08  8.000064964280591e-01 
 3.614000000000000e-08  8.000064964280590e-01 
 3.664000000000000e-08  8.000064964280591e-01 
 3.714000000000000e-08  8.000064964280590e-01 
 3.764000000000000e-08  8.000064964280591e-01 
 3.814000000000000e-08  8.000064964280590e-01 
 3.863999999999999e-08  8.000064964280590e-01 
 3.913999999999999e-08  8.000064964280590e-01 
 3.963999999999999e-08  8.000064964280591e-01 
 4.013999999999999e-08  8.000064964280591e-01 
 4.063999999999999e-08  8.000064964280591e-01 
 4.113999999999998e-08  8.000064964280590e-01 
 4.163999999999998e-08  8.000064964280591e-01 
 4.213999999999998e-08  8.000064964280590e-01 
 4.263999999999998e-08  8.000064964280591e-01 
 4.313999999999997e-08  8.000064964280590e-01 
 4.363999999999997e-08  8.000064964280591e-01 
 4.413999999999997e-08  8.000064964280590e-01 
 4.463999999999997e-08  8.000064964280591e-01 
 4.513999999999997e-08  8.000064964280590e-01 
 4.563999999999996e-08  8.000064964280591e-01 
 4.613999999999996e-08  8.000064964280590e-01 
 4.663999999999996e-08  8.000064964280591e-01 
 4.713999999999996e-08  8.000064964280590e-01 
 4.763999999999996e-08  8.000064964280591e-01 
 4.813999999999995e-08  8.000064964280590e-01 
 4.863999999999995e-08  8.000064964280591e-01 
 4.913999999999995e-08  8.000064964280590e-01 
 4.963999999999995e-08  8.000064964280591e-01 
 5.013999999999994e-08  8.000064964280591e-01 
 5.063999999999994e-08  8.000064964280590e-01 
 5.113999999999994e-08  8.000064964280590e-01 
 5.163999999999994e-08  8.000064964280591e-01 
 5.213999999999994e-08  8.000064964280590e-01 
 5.263999999999993e-08  8.000064964280591e-01 
 5.313999999999993e-08  8.000064964280590e-01 
 5.363999999999993e-08  8.000064964280591e-01 
 5.413999999999993e-08  8.000064964280590e-01 
 5.463999999999993e-08  8.000064964280591e-01 
 5.513999999999992e-08  8.000064964280591e-01 
 5.563999999999992e-08  8.000064964280591e-01 
 5.613999999999992e-08  8.000064964280590e-01 
