x,real,imag
0.0,0.8,0.0
5.000000000000001e-12,0.8,0.0
1e-11,0.8,0.0
2e-11,0.8,0.0
4e-11,0.8,0.0
8.000000000000001e-11,0.8,0.0
1.6e-10,0.8,0.0
3.2e-10,0.8,0.0
6.400000000000001e-10,0.8,0.0
1.14e-09,0.8,0.0
1.64e-09,0.8,0.0
2.14e-09,0.8,0.0
2.64e-09,0.8,0.0
3.14e-09,0.8,0.0
3.64e-09,0.8,0.0
4.14e-09,0.8,0.0
4.640000000000001e-09,0.8,0.0
5.140000000000001e-09,0.8,0.0
5.640000000000001e-09,0.8,0.0
6.140000000000002e-09,0.8,0.0
6.640000000000002e-09,0.8,0.0
7.140000000000002e-09,0.8,0.0
7.640000000000003e-09,0.8,0.0
8.140000000000002e-09,0.8,0.0
8.640000000000002e-09,0.8,0.0
9.140000000000001e-09,0.8,0.0
9.64e-09,0.8,0.0
1.014e-08,0.8,0.0
1.064e-08,0.8,0.0
1.114e-08,0.8,0.0
1.164e-08,0.8,0.0
1.214e-08,0.8,0.0
1.264e-08,0.8,0.0
1.314e-08,0.8,0.0
1.364e-08,0.8,0.0
1.414e-08,0.8,0.0
1.464e-08,0.8,0.0
1.514e-08,0.8,0.0
1.564e-08,0.8,0.0
1.614e-08,0.8,0.0
1.664e-08,0.8,0.0
1.714e-08,0.8,0.0
1.764e-08,0.8,0.0
1.814e-08,0.8,0.0
1.864e-08,0.8,0.0
1.914e-08,0.8,0.0
1.964000000000001e-08,0.8,0.0
2.014000000000001e-08,0.8,0.0
2.064000000000001e-08,0.8,0.0
2.114000000000001e-08,0.8,0.0
2.164000000000001e-08,0.8,0.0
2.214000000000001e-08,0.8,0.0
2.264000000000001e-08,0.8,0.0
2.314000000000001e-08,0.8,0.0
2.364000000000002e-08,0.8,0.0
2.414000000000002e-08,0.8,0.0
2.464000000000002e-08,0.8,0.0
2.514000000000002e-08,0.8,0.0
2.564000000000002e-08,0.8,0.0
2.614000000000002e-08,0.8,0.0
2.664000000000002e-08,0.8,0.0
2.714000000000002e-08,0.8,0.0
